2025-03-09 19:23:21,304:INFO:Indicator Summary [2025-01-01 00:00:00 to 2025-01-01 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,305:INFO:Indicator Summary [2025-01-02 00:00:00 to 2025-01-02 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,306:INFO:Indicator Summary [2025-01-03 00:00:00 to 2025-01-03 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,308:INFO:Indicator Summary [2025-01-04 00:00:00 to 2025-01-04 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,309:INFO:Indicator Summary [2025-01-05 00:00:00 to 2025-01-05 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,310:INFO:Indicator Summary [2025-01-06 00:00:00 to 2025-01-06 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,310:INFO:Indicator Summary [2025-01-07 00:00:00 to 2025-01-07 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,311:INFO:Indicator Summary [2025-01-08 00:00:00 to 2025-01-08 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,312:INFO:Indicator Summary [2025-01-09 00:00:00 to 2025-01-09 23:00:00]: RSI Mean: 0.00, Overbought (>70): 0, Oversold (<30): 24, MACD Mean: 0.00, ADX Mean: 10.00, Strong Trend (>10): 0, BB Breakouts: {0: 24}, SMA Bullish (10>20): 0/24
2025-03-09 19:23:21,312:INFO:Indicator Summary [2025-01-10 00:00:00 to 2025-01-10 23:00:00]: RSI Mean: 84.42, Overbought (>70): 21, Oversold (<30): 2, MACD Mean: 2939.16, ADX Mean: 17.70, Strong Trend (>10): 3, BB Breakouts: {0: 24}, SMA Bullish (10>20): 21/24
2025-03-09 19:23:21,313:INFO:Indicator Summary [2025-01-11 00:00:00 to 2025-01-11 23:00:00]: RSI Mean: 48.10, Overbought (>70): 0, Oversold (<30): 0, MACD Mean: 1488.21, ADX Mean: 53.45, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 10/24
2025-03-09 19:23:21,314:INFO:Indicator Summary [2025-01-12 00:00:00 to 2025-01-12 23:00:00]: RSI Mean: 51.54, Overbought (>70): 0, Oversold (<30): 0, MACD Mean: 359.03, ADX Mean: 32.25, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 16/24
2025-03-09 19:23:21,315:INFO:Indicator Summary [2025-01-13 00:00:00 to 2025-01-13 23:00:00]: RSI Mean: 41.35, Overbought (>70): 0, Oversold (<30): 3, MACD Mean: -283.15, ADX Mean: 23.00, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 4/24
2025-03-09 19:23:21,315:INFO:Indicator Summary [2025-01-14 00:00:00 to 2025-01-14 23:00:00]: RSI Mean: 67.73, Overbought (>70): 10, Oversold (<30): 0, MACD Mean: 515.97, ADX Mean: 21.24, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 24/24
2025-03-09 19:23:21,316:INFO:Indicator Summary [2025-01-15 00:00:00 to 2025-01-15 23:00:00]: RSI Mean: 63.15, Overbought (>70): 3, Oversold (<30): 0, MACD Mean: 683.92, ADX Mean: 28.14, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 24/24
2025-03-09 19:23:21,317:INFO:Indicator Summary [2025-01-16 00:00:00 to 2025-01-16 23:00:00]: RSI Mean: 55.98, Overbought (>70): 0, Oversold (<30): 0, MACD Mean: 558.41, ADX Mean: 33.93, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 13/24
2025-03-09 19:23:21,317:INFO:Indicator Summary [2025-01-17 00:00:00 to 2025-01-17 23:00:00]: RSI Mean: 66.79, Overbought (>70): 10, Oversold (<30): 0, MACD Mean: 827.47, ADX Mean: 28.78, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 24/24
2025-03-09 19:23:21,318:INFO:Indicator Summary [2025-01-18 00:00:00 to 2025-01-18 23:00:00]: RSI Mean: 51.90, Overbought (>70): 0, Oversold (<30): 0, MACD Mean: 536.40, ADX Mean: 33.01, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 13/24
2025-03-09 19:23:21,318:INFO:Indicator Summary [2025-01-19 00:00:00 to 2025-01-19 23:00:00]: RSI Mean: 55.84, Overbought (>70): 0, Oversold (<30): 0, MACD Mean: 329.68, ADX Mean: 21.45, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 23/24
2025-03-09 19:23:21,319:INFO:Indicator Summary [2025-01-20 00:00:00 to 2025-01-20 23:00:00]: RSI Mean: 50.31, Overbought (>70): 0, Oversold (<30): 1, MACD Mean: 128.87, ADX Mean: 22.17, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 11/24
2025-03-09 19:23:21,320:INFO:Indicator Summary [2025-01-21 00:00:00 to 2025-01-21 23:00:00]: RSI Mean: 49.28, Overbought (>70): 1, Oversold (<30): 0, MACD Mean: -221.47, ADX Mean: 24.20, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 11/24
2025-03-09 19:23:21,320:INFO:Indicator Summary [2025-01-22 00:00:00 to 2025-01-22 23:00:00]: RSI Mean: 49.39, Overbought (>70): 0, Oversold (<30): 3, MACD Mean: 217.50, ADX Mean: 15.14, Strong Trend (>10): 24, BB Breakouts: {0: 24}, SMA Bullish (10>20): 9/24
